id,event_type,entry,subject_id,actor,corrects,phase_id,slice_id,occurred_at,custom_attributes,last_referenced
PE-019,note,"Beat 14 (plan 041, v4.7.0 RC): entity_export wrote exports/slate-rows.json (AC-003, AC-005) stamped with digest 48e5d2e35cf1ff9a43340f629d07fa21ea5823eab9f3b5f547c6c4cda65a29b3 == package_verify(); workspace/scripts/gen-slate.py rendered workspace/slate.html from that file and calibrated its verifier (one corrupted character detected). The paste guard: a full-row DEF-001 upsert with expect_unchanged [title] and ONE word of the title altered (flagged -> marked) was REFUSED naming title; the same row with the exact stored title and severity high -> medium was ACCEPTED, then severity restored to high under expect_unchanged [title] (accepted); the title re-read byte-identical. Also observed: the PARTIAL export note (verdicts.json, limit 1 of 5), the data/ path refusal and the read-only-tools refusal.",,agent:lab-continuation-041,,,,2026-09-06T20:56:31Z,,
PE-020,forced-override,FORCED transition: SL-003 -> Implemented past blocking readiness failures (born-Implemented (no readiness measured)) — operator-confirmed override,SL-003,system:transition-guard,,,,2026-09-12T12:15:20Z,,
PE-021,note,"Beat 15 (plan 059, v4.8.0 RC): the advisor-audit mechanisms fired against the recorded package. NAMES (plan 044): package_open(""../package"") was REFUSED — invalid package name '../package' (kebab-case, [a-z0-9-], one segment) — and nothing was opened. THE STALE-TREE ROLLBACK (plan 043): one character was hand-edited inside RISK-001's title while the package was open; entity_upsert(RISK-002) was REFUSED — data/ changed on disk since this session loaded it (risks.jsonl) — refusing to overwrite — the batch was NOT applied; entity_query(""risk"") showed no RISK-002, package_close warned it closed WITHOUT the final flush, and risks.jsonl was restored byte-for-byte from the pre-beat backup (package_verify: verified true). BORN-IMPLEMENTED (plan 053): slice SL-003 ""Export polish"" was REFUSED — readiness: SL-003 cannot be created as Implemented — then accepted under force, and the server appended its own typed forced-override row PE-020 naming born-Implemented. SCOPED READINESS (plan 049): readiness_check(""slice"", SL-003) read acs-met and wbs-done as indeterminate with discriminating false — no ACs and no work items in that scope, so neither rule could discriminate. THE WHOLE-RULE WAIVER: WVR-002 on defects-minor with no applies_to made the rule read waived and its waived list name every open minor defect (DEF-003, DEF-004). THE OMISSION REVISION (plan 051): the invariant omission's reason was rewritten and the second write landed ok, never unchanged. THE CSV GUARD (plan 050): DEF-004's formula-shaped title exports to csv/defects.csv quote-prefixed while review.html renders it unchanged. THE NOTE SCREEN (plan 054): skill SKL-002, named after the classic prompt-injection phrase, blocked handoff_emit at gate G-INJECT with a skill finding; re-upserting SKL-002 as Obsolete let the emit through and the note's skills line names only boundary-semantics.",,agent:lab-continuation-059,,,,2026-09-12T12:20:19Z,,
PE-022,forced-override,FORCED lock removal: data/.lock held by pid 366344 on Anas-PC since 2026-09-21T04:48:00+00:00 was observed `not-running` - no process with pid 366344 is running on this host - and removed on the operator's word (package_unlock confirm=true),,system:package-unlock,,,,2026-09-21T04:48:00Z,,
PE-023,note,"Beat 16 - the findings_25 continuation (v4.9.0). A child process took data/.lock naming itself and exited; package_open REFUSED and said what it saw - ""observed: not-running - no process with pid 366344 is running on this host"" - while the read-only package_migrate preview still answered (""read while locked""). package_unlock reported first (would_unlock: true, nothing written), then on this plan's operator word removed the lock and journaled PE-022 (forced-override, actor system:package-unlock). A lock naming a LIVE holder was then planted and REFUSED: ""the lock's holder was observed `alive` (pid 370136 is the very process that wrote the lock (exact start identity)) - not removed""; that lock was removed by hand, as the tool says is the deliberate path. The legible reads: server_info(detail=true) names 37 entity types and the mitigates rule's endpoints; a projection of defect to id+title reported omitted_columns [severity, lifecycle_status, found_in, fixed_by, custom_attributes, last_referenced] and a search for SL-002 reported matched {DEF-001..DEF-004: [found_in]} - it said WHERE it matched, in a column it had not returned; defects-closed reported its population (defects, 4 rows, unscoped) and lessons-confirmed its own (lessons, 2 rows). DEF-005 was then written with a phantom id in its prose and readiness caught it - prose-ids-resolve: ""DEF-005.title -> RISK-909"" - and passed again once the title was corrected (DEF-001, a real row, was never flagged). entity_export wrote exports/beat16-defects.json whose envelope says partial: true (1 of 5 rows), and package_verify(expect=<that digest>) confirmed matches_expected: true. A retired table's csv/prompts.csv and an operator's csv/operator-notes.csv were planted by hand: package_verify named both as foreign_csv, export_html removed the first and left the second alone as unowned. handoff_emit(refresh_stock=true) carried five stale stock bodies - README.md, integrity-check.md, orient-resume.md, register-liveness.md, replan-deferred.md - to their 4.9.0 text, with nothing customized to preserve.",,agent:lab-beat-16,,,,2026-09-21T04:55:10Z,,
PE-024,lesson-confirmed,LESSON CONFIRMED: LL-003 (confirmed_by operator:lab) — operator_confirm attested,LL-003,system:lesson-guard,,,,2026-09-21T17:04:35Z,,
PE-025,transition,LESSON LL-003 -> Superseded: its successor LL-004 was approved on the operator's word (operator_confirm attested on that write),LL-003,system:lesson-supersession,,,,2026-09-21T17:04:35Z,,
PE-026,lesson-confirmed,LESSON CONFIRMED: LL-004 (confirmed_by operator:lab) — operator_confirm attested,LL-004,system:lesson-guard,,,,2026-09-21T17:04:35Z,,
PE-027,note,"Lab beat 17 (plan 083) - the findings_26 mechanisms fired against this recorded package.

A lesson turned out false and its correction was recorded. LL-003, approved on the operator's word, closes with the claim that a passing date-logic suite is its own verdict; LL-004 corrects it. Re-sending LL-004 with its last paragraph dropped reported changed_columns: [{""column"": ""statement"", ""old_len"": 677, ""new_len"": 467}] - the lost paragraph was a number on the screen; re-sending it in full read old_len 467 -> new_len 677, and re-sending it unchanged read [].

Pointing LL-003 at LL-004 unattended was refused for ""pointing a BINDING lesson at a successor"". With the operator's word the pointer landed, and the engine said what it had NOT done: ""LL-003 is still Approved, so it KEEPS BINDING: `superseded_by` is only a pointer."" The emitted always-loaded note carried ""superseded by LL-004 - pending its approval"", and readiness's lessons-superseded-binding passed with no entities, LL-004 not being approved yet. Two unattended retirements of LL-003 - to Superseded, then to Proposed - were both refused for ""retiring a lesson that BINDS future sessions"", and LL-003 stayed Approved. Approving LL-004 on the operator's word retired it in that same write, reported as ""superseded"": [""LL-003""] and journaled by system:lesson-supersession.

DEF-005's title now cites a backticked phantom id. readiness_check's prose-ids-resolve reports it under in_code_spans as ""DEF-005.title -> RISK-808"" while its entities list stays empty, because the entity list is a FLOOR, not a census - backticks hide nothing. The title is left as it is: the inert report is the point.

waivers-open-ended fails, advisory, on [""WVR-002""] - the whole-rule waiver with no expiry. It stays open-ended on purpose: a dated expiry would become a time bomb in a fixture that is replayed for years.

deferred-work-reviewed read indeterminate over zero rows - the rule ""measured nothing"" - until the family's omission was recorded; it then passed, carrying omitted for deferred-work with the reason. hypotheses-measurable is left indeterminate on purpose: one explained zero beside one amber zero is the contrast the lab keeps. gate_run stayed ready throughout, and readiness stayed not-ready on the scenario's deliberately-open items.

package_verify's review_current read null before this beat - the recorded page predates the stamp - and true after export_html.

On a scratch copy, a completed hand-merge declared itself and stopped lagging: integrity-check.md reported ""stock_merged"": ""declared 4.9.0"" with contains_current_stock false and was absent from the CUSTOMISED warning, while orient-resume.md, declaring 3.0.0, was named by it.

Finding F-1: a lab beat that refreshes stock prompts before the release re-stamps the prompt guide's version line leaves the fixture holding a body no history key records, so it reads as customised forever - prompts/README.md here, accepted by tool after its diff against the 4.9.0 history body was verified to be that one version line.",,agent:lab-beat-17,,,,2026-09-21T17:12:49Z,,
PE-028,note,REGISTRY-SYNC: entity types added (feedback),,system:migrate,,,,,,
PE-029,transition,FEEDBACK FB-001 -> Confirmed (was Proposed; kind missing-capability) on the operator's word — operator_confirm attested; confirmed_by operator:lab,FB-001,system:feedback-guard,,,,2026-09-22T04:30:28Z,,
PE-030,transition,FEEDBACK FB-002 -> Confirmed (was new; kind local-tool) on the operator's word — operator_confirm attested; confirmed_by operator:lab,FB-002,system:feedback-guard,,,,2026-09-22T04:31:31Z,,
PE-031,lesson-confirmed,LESSON CONFIRMED: LL-005 (confirmed_by operator:lab) — operator_confirm attested,LL-005,system:lesson-guard,,,,2026-09-22T04:33:15Z,,
PE-032,transition,"LESSON LL-005 -> Superseded (was Approved) on the operator's word, by hand — operator_confirm attested; confirmed_by operator:lab",LL-005,system:lesson-guard,,,,2026-09-22T04:33:15Z,,
PE-033,note,"Beat 18 (plan 089): the findings_27 mechanisms and the feedback channel, fired in-process against this package by the working-tree engine. THE REGISTRY FIRST: this recorded store's entity_types predated the feedback family, so package_migrate ran in registry-sync mode (preview, then confirm) and appended PE-028, 'REGISTRY-SYNC: entity types added (feedback)', actor system:migrate - the same upgrade path beats 10 and 12 took for lesson and skill. THE UNDERSCORE (plan 085): DEF-005's title was re-sent in full carrying a formula, score = (KPI-17_score * 0.25) + (KPI-10_score * 0.2); changed_columns named title alone (54 -> 108), and prose-ids-resolve still read pass with entities [], in_code_spans exactly ['DEF-005.title -> RISK-808'] and not_well_formed [] - the variable names appear NOWHERE, because an underscore is a word character and, as the rule's own note says, the three lists are disjoint and width is tested first. hypotheses-measurable is the indeterminate rule whose note carries scoped: false. THE FEEDBACK CHANNEL (plan 087): FB-001 was recorded Proposed for a function the tools lack - a patch mode for one column of a long row - instead of the local script that would otherwise have done that substitution. The UNATTENDED confirmation was REFUSED: ""FB-001: feedback leaves the package only on the OPERATOR's word - re-run this item with ""operator_confirm"": true after their explicit confirmation; never in unattended mode"". handoff_emit named it while it waited: ""1 feedback row(s) await the operator's word (FB-001) - interview them: Confirmed with operator_confirm, or Rejected"". On the operator's word it became Confirmed carrying a feedback_audit, PE-029, journaled by system:feedback-guard. Rewriting that confirmed row underneath the operator's own name was REFUSED: ""FB-001: the operator confirmed this row as it stood - content drifted on ['detail']; re-confirm the change with ""operator_confirm"": true, or record a new FB- row"" - and the stored detail did not move. The next emission asked for the export instead; entity_export(""feedback.json"") wrote total 1, partial false, and FB-001 then went Reported with NO operator word needed, because it had left. FB-002, the lab's one local tool, was REFUSED at insert: ""FB-002: a local tool over the package exists only on the OPERATOR's word - interview them with what it reads (exports/ only) and writes (nowhere tool-owned)""; the family total stayed 1 until the operator's word landed it Confirmed with a feedback_audit, PE-030. THE BY-HAND RETIREMENT (plan 086): LL-005 was recorded, approved on the operator's word (lesson_audit PE-031), then retired BY HAND to Superseded with no successor - a lesson withdrawn - and the engine wrote the row itself: lesson_audit PE-032, ""LESSON LL-005 -> Superseded (was Approved) on the operator's word, by hand - operator_confirm attested; confirmed_by operator:lab"", actor system:lesson-guard. Forging that row was REFUSED on BOTH caller paths - progress_update and the progress-entry upsert - in the same words: ""actor 'system:lesson-guard' is the engine's own namespace (system:<component> rows are what the server witnessed) - a caller records as human:<name> or agent:<session>""; no forged row reached the journal. THE PROMPTS: handoff_emit(refresh_stock=True) refreshed exactly prompts/orient-resume.md and prompts/README.md with diverged_customized empty, and the refreshed guide now teaches the FB- row and the local-tool row.",,agent:lab-beat-18,,,,2026-09-22T04:35:45Z,,
PE-034,transition,PACKAGE lab-tracker go_no_go -> 'GO — MVP complete; PH-2 open' (was None) on the operator's word — operator_confirm attested,,system:package-guard,,,,2026-09-23T00:26:46Z,,
PE-035,note,"Beat 19 — the findings_28 continuation (v4.12.0): the four answers the feedback channel asked for, fired in-process against this recorded package by the working-tree server.

THE PROMPT RULE (plan 093). One history line was appended BY HAND to `prompts/project-kickoff.md` — a prompt is a file — naming two ids that resolve to nothing here. `readiness_check(""package"")` then read `prompt-ids-resolve` `status: fail` over `population` `{table: ""prompts/*.md"", rows: 1, scoped: false, unit: ""files""}`, its entity list naming `prompts/project-kickoff.md:4 -> DEF-090` and `prompts/project-kickoff.md:4 -> SL-007`, under the note's own warning that `THE ENTITY LIST IS A FLOOR`. Quoting both ids in backticks made them inert: the rule read `pass`, its entity list emptied, and both moved to `in_code_spans`. `gate_run` stayed `ready: true` across the whole exchange — the rule is advisory, never a gate.

THE CENSUS (plan 092). `entity_query(""defect"", search=""RISK-808"", context=12)` reported `matched` `{""DEF-005"": [""title""]}` and its `occurrences` counted `DEF-005.title` `count: 1`, one snippet reading `1; mock id `RISK-808`; score = (`. `entity_query(""defect"", search=""KPI-1"", context=8)` counted TWO `occurrences` in that same title — snippets `core = (KPI-17_score ` and `.25) + (KPI-10_score `. A census counts SUBSTRINGS; the prose-id rule does not — those two tokens are a formula's variable names and trip no id list.

THE HEADER (plan 094). `entity_upsert(type=""package"")` wrote `entry_point` = `prompts/project-kickoff.md`, `changed_columns` naming `entry_point` alone, and `server_info().package` read it straight back. The verdict did not follow so easily. The unattended attempt was refused: `go_no_go is the package's governance verdict and changes only on the OPERATOR's word — re-run this item with ""operator_confirm"": true after their explicit confirmation; never in unattended mode`. A STRING `""true""` was refused in exactly the same words — a truthy string never attests; only the JSON boolean does. On the OPERATOR's word the verdict landed and the ENGINE witnessed it in the same savepoint: `package_audit` `PE-034`, event_type `transition`, actor `system:package-guard`, entry `PACKAGE lab-tracker go_no_go -> 'GO — MVP complete; PH-2 open' (was None) on the operator's word — operator_confirm attested`. The identity columns stayed frozen: `header column(s) ['profile'] are the package's identity and are frozen — writable: title, mode, iteration, mvp_definition, entry_point, go_no_go`.

THE SUBSTITUTE (plan 095). One token in `DEF-005`'s long title was corrected by a `substitute` write that touched nothing else: `substituted` `{""title"": 1}`, `changed_columns` exactly one entry, `old_len` 108 and `new_len` 108, and every other column of the row read byte-identical to this beat's pre-beat backup. A match glued to a digit was refused: `DEF-005: 'KPI-1' in 'title' also matches inside a longer token ('KPI-17_score') — a substitute never rewrites part of an id; send the whole token, or a full row`; the title was unchanged after it. A substitute on the Approved lesson `LL-004` was refused by the immutability trigger — `approved/promoted lessons are immutable: supersede, never edit` — and its statement was unchanged. A mixed item was refused because `a substitute item carries only type, id, substitute, operator_confirm and expect_unchanged — not ['severity']: half a row plus a substitute is ambiguous; send a full row, or a substitute alone`.

THE PAGE (plan 096). This note is written BEFORE `export_html`; the review page is re-rendered after it, so the page that ships carries this row and its Readiness and Feedback sections.",,agent:lab-beat-19,,,,2026-09-23T00:31:29Z,,
PE-036,transition,"FEEDBACK FB-001 -> Resolved (was Reported; kind missing-capability) — bookkeeping, no word required; resolved_in 4.12.0; upstream_ref tamheed plan 095",FB-001,system:feedback-guard,,,,2026-09-23T13:54:24Z,,
PE-037,note,"Beat 20 — the findings_29 continuation, fired against this package by a real agent session on the v4.13.0 working tree (plan 104; the engine that produced this row is the one the release ships).

THE CHANNEL'S MIDDLE (plan 100). FB-001 — the patch-mode request this lab filed in beat 18 — was answered upstream by plan 095's `substitute` in 4.12.0, and it was closed by the disposition recipe the readiness note teaches: a PARTIAL row carrying id, kind, title and the three bookkeeping columns (lifecycle_status Resolved, resolved_in 4.12.0, upstream_ref ""tamheed plan 095""). `changed_columns` named exactly those three, and the omitted columns — detail, workaround, tool_or_rule, plugin_version, confirmed_by, recorded_at — read back byte-identical to the pre-beat backup: the absence of a column from `changed_columns` IS the proof that the UPDATE preserved it. The engine journaled the move itself as PE-036 (event_type transition, actor system:feedback-guard), and the row says which kind of move it was: ""FEEDBACK FB-001 -> Resolved (was Reported; kind missing-capability) — bookkeeping, no word required; resolved_in 4.12.0; upstream_ref tamheed plan 095"". It claims no word it did not get — the string `attested` appears nowhere in it. With that one write the advisory `feedback-unanswered` moved from fail (entities [""FB-001""]) to pass with an empty entity list, and handoff_emit's third feedback warning — the one that had named FB-001 as ""reported upstream and not yet answered"" every day since beat 18 — is gone. The channel now has all three ends: reported, answered, and the record of when it stopped being outstanding.

THE HEADER READ (plan 101, the field's FB-015). The project's MVP definition was written through the tool — `mvp_definition` = ""add, list and done over a persisted store — the loop a user runs ten times a day"" — and `server_info().package` reads it straight back. The read is a SUPERSET of the write: all ten header columns come back, including `created_at` (2026-08-14T14:33:11Z, non-null) which no caller may write. The annotation key `v1_manifest_derived` is ABSENT from this header, and correctly so: this package was born v4 and was never migrated from a v1 manifest, so there is nothing for that key to annotate. Before this beat `mvp_definition` was writable and readable only through the HTML page; now the tool that a session orients with can see it.

THE VERDICT, PRESENCE-CHECKED (plan 102, findings_29 section 1). The current verdict was RE-SENT unchanged — the very shape the 4.12.0 release brief used as its refusal probe, which could not fail under the old change-checked guard — and here it was REFUSED: ""go_no_go is the package's governance verdict and changes only on the OPERATOR's word — re-run this item with \""operator_confirm\"": true after their explicit confirmation; never in unattended mode"". Naming the verdict at all is now the operator's act, whatever the value; the guard is presence-checked, not change-checked, so a header copied wholesale out of `server_info().package` and pasted back is refused unattended. On the operator's word — granted by plan 104 for this beat and by nothing else in the repository — the same item was accepted with `changed_columns: []` and NO `package_audit` key, and the progress-entry total held at 36 across the whole step: the audit row is written only when the verdict MOVES, so re-affirming a verdict journals nothing. No old == new rows.

THE SUBSTITUTE RE-RUN (plan 102, findings_29 section 3). DEF-005's long title cites DEF-001, and a prefix repair by `substitute` — DEF-001 -> ""DEF-001 (fixed in SL-002)"" — landed once: `substituted` {""title"": 1}, one `changed_columns` entry, 108 to 126 characters. Sent a SECOND time, byte-identical, it was REFUSED: ""DEF-005: 'DEF-001 (fixed in SL-002)' already occurs 1 time(s) in 'title' and contains 'DEF-001' — a re-run would compound it; send old and new with the characters that bound them (the backticks, the delimiter) so the result cannot re-match, or a full row"". A replacement that contains its own needle re-matches its own output; the first run passes and the second is a re-run, refused with the remedy rather than silently doubling the prefix. The title still carries exactly one ""DEF-001 (fixed in SL-002)"".

EXPECT_UNCHANGED HONOURS OMISSION (plan 102, findings_29 section 4). DEF-005 carried no `custom_attributes`, so the full row was written back once with {""lab"": ""beat 20""}. Then a PARTIAL row — id, title, severity, lifecycle_status — naming `custom_attributes` in `expect_unchanged` while OMITTING it was ACCEPTED with `changed_columns: []`, because an omitted column is preserved by the UPDATE and so naming it is a true assertion, never drift. The same item with a drifted value actually SENT was REFUSED: ""DEF-005: expect_unchanged — custom_attributes differ(s) from the stored row (a sent column must match; an omitted column is preserved by the UPDATE and never counts as drift)"". A sent column must match; an omitted one is never compared.

`gate_run` read ready: true at the baseline and after every one of steps 3, 4, 5 and 6 — none of the three guards moves a gate, and none of the two refusals left a partial write behind. This note is written BEFORE `export_html`, so the review page that ships carries it and files the resolved FB-001 under the closed fold.",,agent:lab-beat-20,,,,2026-09-23T13:59:15Z,,
